FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
7306;Pog-0;CAN;Pog;492.655;-123.206;Albert Kranz;;CS76576;RgMap;REF;0.983056372;
7307;Pn-0;FRA;Pn;480.653;-296.591;Albert Kranz;;CS77182;RgMap;REF;0.980905766;
7309;Po-1;GER;Poppelsdorf;507.167;7.1;Albert Kranz;;;RgMap;IMP;0.964257547;
7310;Pr-0;GER;Frankfurt-Praunheim;501.448;860.706;Albert Kranz;;;RgMap;IMP;0.964310491;
7314;Ragl-1;UK;Ragl;543.512;-341.697;Maarten Koornneef;;CS76583;1001G;REF;0.992158109;
7316;Rhen-1;NED;Rhen;519.667;556.667;Maarten Koornneef;;CS78916;RgMap;REF;0.983931753;
7317;Ri-0;CAN;Ri;491.632;-123.137;Albert Kranz;5/24/2002 2:00;;RgMap;IMP;0.950166316;
7319;Rome-1;ITA;Rome;42;12.1;Maarten Koornneef;;CS76590;1001G;REF;0.962363938;
7320;Rou-0;FRA;Rou;494.424;109.849;Albert Kranz;;CS76591;RgMap;REF;0.989110276;
7322;Rsch-4;RUS;Rsch;56.3;34;Albert Kranz;;CS77222;1001G;REF;0.989612263;
7323;Rubezhnoe-1;UKR;Rubezhnoe;49;38.28;Igor Vizir;;CS76594;RgMap;REF;0.971860423;
7327;Sf-1;ESP;Sf;417.833;303.333;F. Laibach;;CS77246;1001G;REF;0.980152639;
7328;Sf-2;ESP;Sf;417.833;303.333;Albert Kranz;;CS77247;RgMap;REF;0.981875579;
7330;Sapporo-0;JPN;Sapporo;430.553;141.346;Yoshie Hanzawa;;;RgMap;IMP;0.943792081;
7331;Sh-0;GER;Schwiegershausen;516.832;102.144;Albert Kranz;;;RgMap;IMP;0.952916648;
7332;Seattle-0;USA;Seattle;47;-122.2;Rick Amasino;;CS76598;1001G;REF;0.9941662;
7333;Sei-0;ITA;Sei;465.438;115.614;Albert Kranz;;CS76599;RgMap;REF;0.968937163;
7337;Si-0;GER;Siegen;508.738;802.341;Albert Kranz;;CS76601;RgMap;REF;0.984774808;
7340;Sav-0;CZE;Slavice;491.833;158.833;Albert Kranz;;;RgMap;IMP;0.936411916;
7342;Su-0;UK;Su;536.473;-300.733;Albert Kranz;;CS76606;1001G;REF;0.990939105;
7343;Sp-0;GER;Berlin/Spandau;525.339;13.181;Albert Kranz;;CS76603;RgMap;REF;0.98102597;
7344;Sg-1;GER;St.Georgen;476.667;9.5;Albert Kranz;;CS76600;RgMap;REF;0.985055173;
7346;Sten-0;GER;Stendal;526.058;118.558;Albert Kranz;;CS77277;RgMap;REF;0.981350477;
7347;Stw-0;RUS;Stw;52;36;Albert Kranz;;CS76605;1001G;REF;0.986765894;
7349;Ta-0;CZE;Ta;49.5;14.5;Albert Kranz;;CS76608;1001G;REF;0.991682237;
7350;Tac-0;USA;Tac;472.413;-122.459;Thomas Mitchell-Olds;;CS76609;1001G;REF;0.991992352;
7351;Ty-0;UK;Ty;564.278;-523.439;Albert Kranz;;;RgMap;IMP;0.938034001;
7352;Te-0;FIN;Te;600.585;232.982;Albert Kranz;;;RgMap;IMP;0.964414553;
7353;Tha-1;NED;Tha;52.08;4.3;Maarten Koornneef;;CS76611;RgMap;REF;0.981098067;
7354;Ting-1;SWE;Ting;56.5;14.9;Maarten Koornneef;;CS76612;RgMap;REF;0.98974521;
7355;Tiv-1;ITA;Tiv;41.96;12.8;Maarten Koornneef;;;RgMap;IMP;0.932024894;
7356;Tol-0;USA;Tol;416.639;-835.553;Scott Leisner;;CS76614;1001G;REF;0.98953934;
7358;Tol-2;USA;Tol;416.639;-835.553;Scott Leisner;;CS79019;1001G;REF;0.999167044;
7359;Tol-3;USA;Tol;416.639;-835.553;Scott Leisner;;CS79020;1001G;REF;0.999177344;
7372;Tscha-1;AUT;Tscha;470.748;99.042;Maarten Koornneef;;CS76616;RgMap;REF;0.979731716;
7373;Tsu-0;JPN;Tsu;34.43;136.31;Albert Kranz;;CS77389;RgMap;REF;0.978572434;
7376;Tu-1;ITA;Tu;45;7.5;Albert Kranz;;;RgMap;IMP;0.96717949;
7377;Tul-0;USA;Tul;432.708;-852.563;Albert Kranz;;CS76618;1001G;REF;0.998877119;
